Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,LAA,@,OAK,L-wo,3,7,10,0-1,4,1.0,Smith,Robles,,3:46,N,,1.18,-,
2,Saturday Jul 25,boxscore,LAA,@,OAK,W,4,1,,1-1,2,1.0,Bundy,Manaea,Robles,2:27,D,,1.17,+,
3,Sunday Jul 26,boxscore,LAA,@,OAK,L,4,6,,1-2,3,1.0,Petit,Ohtani,Hendriks,3:02,D,,1.21,-,
4,Monday Jul 27,boxscore,LAA,@,OAK,L,0,3,,1-3,4,2.0,Smith,Canning,Soria,2:59,D,,1.19,--,
5,Tuesday Jul 28,boxscore,LAA,,SEA,W,10,2,,2-3,3,1.0,Buchter,Sheffield,,3:15,N,,1.15,+,
6,Wednesday Jul 29,boxscore,LAA,,SEA,L,7,10,,2-4,4,1.0,Shaw,Barnes,Altavilla,3:47,N,,1.21,-,
7,Thursday Jul 30,boxscore,LAA,,SEA,L,5,8,,2-5,5,1.5,Gonzales,Bundy,,2:59,N,,1.19,--,
8,Friday Jul 31,boxscore,LAA,,HOU,L,6,9,,2-6,5,2.5,Bielak,Andriese,Scrubb,4:21,N,,1.16,---,
9,Saturday Aug 1,boxscore,LAA,,HOU,W-wo,5,4,10,3-6,4,1.5,Buchter,Rodriguez,,3:58,D,,1.10,+,
10,Sunday Aug 2,boxscore,LAA,,HOU,L,5,6,11,3-7,5,2.5,Taylor,Barnes,,4:37,D,,1.20,-,
11,Tuesday Aug 4,boxscore,LAA,@,SEA,W,5,3,,4-7,3,3.0,Heaney,Dunn,Buttrey,2:55,N,,1.12,+,
12,Wednesday Aug 5,boxscore,LAA,@,SEA,L,6,7,,4-8,4,4.0,Gonzales,Teheran,Edwards,3:09,N,,1.17,-,
13,Thursday Aug 6,boxscore,LAA,@,SEA,W,6,1,,5-8,3,4.0,Bundy,Walker,,2:23,D,,1.14,+,
14,Friday Aug 7,boxscore,LAA,@,TEX,L,3,4,,5-9,3,5.0,Lyles,Canning,Montero,3:38,N,,1.21,-,
15,Saturday Aug 8,boxscore,LAA,@,TEX,L,0,2,,5-10,4,6.0,Volquez,Sandoval,Montero,2:46,N,,1.19,--,
16,Sunday Aug 9,boxscore,LAA,@,TEX,L,3,7,,5-11,5,7.0,Lynn,Heaney,,3:36,D,,1.12,---,
17,Monday Aug 10,boxscore,LAA,,OAK,W,10,9,,6-11,5,6.0,Pena,Petit,Buttrey,3:41,N,,.95,+,
18,Tuesday Aug 11,boxscore,LAA,,OAK,W,6,0,,7-11,4,5.0,Bundy,Fiers,,2:56,N,,1.07,++,
19,Wednesday Aug 12,boxscore,LAA,,OAK,L,4,8,,7-12,4,6.0,Bassitt,Canning,,3:20,D,,1.17,-,
20,Friday Aug 14,boxscore,LAA,,LAD,L,4,7,,7-13,4,7.0,Kershaw,Sandoval,Jansen,2:58,N,,.91,--,
21,Saturday Aug 15,boxscore,LAA,,LAD,L,5,6,10,7-14,4,8.0,McGee,Middleton,Jansen,3:17,N,,.80,---,
22,Sunday Aug 16,boxscore,LAA,,LAD,L,3,8,,7-15,4,9.0,Alexander,Teheran,,3:10,D,,.67,----,
23,Monday Aug 17,boxscore,LAA,,SFG,W-wo,7,6,,8-15,4,8.0,Buttrey,Gott,,3:12,N,,.56,+,
24,Tuesday Aug 18,boxscore,LAA,,SFG,L,2,8,,8-16,4,8.0,Garcia,Bundy,,3:06,D,,.64,-,
25,Wednesday Aug 19,boxscore,LAA,@,SFG,L,2,7,,8-17,4,9.0,Cueto,Sandoval,,3:05,N,,.56,--,
26,Thursday Aug 20,boxscore,LAA,@,SFG,L,5,10,,8-18,4,10.0,Gausman,Suarez,,3:40,N,,.44,---,
27,Friday Aug 21,boxscore,LAA,@,OAK,L,3,5,,8-19,5,11.0,Fiers,Heaney,Hendriks,3:07,N,,.35,----,
28,Saturday Aug 22,boxscore,LAA,@,OAK,W,4,3,,9-19,5,10.0,Andriese,Bassitt,Buttrey,3:06,D,,.26,+,
29,Sunday Aug 23,boxscore,LAA,@,OAK,L-wo,4,5,10,9-20,5,11.0,Hendriks,Buttrey,,3:40,D,,.37,-,
30,Monday Aug 24,boxscore,LAA,@,HOU,L,4,11,,9-21,5,11.0,Valdez,Sandoval,,3:25,N,,.40,--,
31,Tuesday Aug 25 (1),boxscore,LAA,@,HOU,L,3,6,7,9-22,5,11.5,Javier,Suarez,Pressly,2:26,D,,.28,---,
32,Tuesday Aug 25 (2),boxscore,LAA,@,HOU,W,12,5,7,10-22,5,11.5,Pena,Bielak,,3:24,D,,.17,+,
33,Friday Aug 28,boxscore,LAA,,SEA,W,3,2,,11-22,5,11.5,Heaney,Margevicius,Buttrey,2:50,N,,.21,++,
34,Saturday Aug 29,boxscore,LAA,,SEA,W,16,3,,12-22,5,10.0,Bundy,Sheffield,,3:26,N,,.26,+++,
35,Sunday Aug 30,boxscore,LAA,,SEA,L,1,2,10,12-23,5,10.5,Williams,Quijada,Ramirez,3:27,D,,.26,-,
36,Monday Aug 31,boxscore,LAA,,SEA,L,1,2,,12-24,5,11.0,Gonzales,Andriese,,2:30,D,,.18,--,
37,Wednesday Sep 2,boxscore,LAA,,SDP,L,4,11,,12-25,5,11.5,Hill,Buttrey,,3:13,N,,.11,---,
38,Thursday Sep 3,boxscore,LAA,,SDP,W,2,0,,13-25,5,11.0,Heaney,Clevinger,Pena,2:40,D,,.06,+,
39,Friday Sep 4,boxscore,LAA,,HOU,W-wo,6,5,11,14-25,4,10.0,Andriese,Raley,,4:27,N,,.10,++,
40,Saturday Sep 5 (1),boxscore,LAA,,HOU,W-wo,10,9,7,15-25,4,9.5,Pena,Paredes,,3:01,D,,.15,+++,
41,Saturday Sep 5 (2),boxscore,LAA,,HOU,W,7,6,7,16-25,4,9.5,Ramirez,Castellanos,Buttrey,2:44,N,,.22,++++,
42,Sunday Sep 6,boxscore,LAA,,HOU,W,9,5,,17-25,4,8.5,Mayers,Valdez,,3:28,D,,.31,+++++,
43,Tuesday Sep 8,boxscore,LAA,@,TEX,L,1,7,,17-26,4,9.5,Lynn,Heaney,,2:52,N,,.35,-,
44,Wednesday Sep 9,boxscore,LAA,@,TEX,L,3,7,,17-27,4,10.5,King,Teheran,,3:38,N,,.24,--,
45,Thursday Sep 10,boxscore,LAA,@,TEX,W,6,2,,18-27,4,10.5,Bundy,Gibson,,3:04,D,,.20,+,
46,Friday Sep 11,boxscore,LAA,@,COL,L-wo,4,8,,18-28,4,11.5,Bard,Buttrey,,3:08,N,,.34,-,
47,Saturday Sep 12,boxscore,LAA,@,COL,W,5,2,11,19-28,4,11.0,Buttrey,Kinley,Andriese,3:44,N,,.24,+,
48,Sunday Sep 13,boxscore,LAA,@,COL,W,5,3,,20-28,4,10.0,Heaney,Estevez,Andriese,3:04,D,,.27,++,
49,Tuesday Sep 15,boxscore,LAA,,ARI,L,8,9,,20-29,4,10.0,Mella,Andriese,Crichton,3:06,N,,.36,-,
50,Wednesday Sep 16,boxscore,LAA,,ARI,L,6,9,,20-30,4,11.0,Clarke,Bundy,Crichton,3:10,N,,.18,--,
51,Thursday Sep 17,boxscore,LAA,,ARI,W,7,3,,21-30,4,10.5,Canning,Young,,3:07,D,,.09,+,
52,Friday Sep 18,boxscore,LAA,,TEX,W,6,2,,22-30,4,10.5,Barria,Benjamin,,2:55,N,,.17,++,
53,Saturday Sep 19,boxscore,LAA,,TEX,W,4,3,,23-30,4,10.5,Mayers,Martin,,2:35,N,,.42,+++,
54,Sunday Sep 20,boxscore,LAA,,TEX,L,2,7,,23-31,4,10.5,Cody,Teheran,,3:00,D,,.46,-,
55,Monday Sep 21,boxscore,LAA,,TEX,W,8,5,,24-31,4,10.0,Bundy,Gibson,Mayers,3:00,D,,.11,+,
56,Tuesday Sep 22,boxscore,LAA,@,SDP,W,4,2,,25-31,3,9.0,Canning,Davies,Mayers,3:10,N,,.22,++,
57,Wednesday Sep 23,boxscore,LAA,@,SDP,W,5,2,,26-31,3,9.0,Sandoval,Morejón,Pena,3:24,D,,.26,+++,
58,Friday Sep 25,boxscore,LAA,@,LAD,L,5,9,,26-32,3,9.5,Graterol,Andriese,,3:42,N,,.15,-,
59,Saturday Sep 26,boxscore,LAA,@,LAD,L,6,7,,26-33,4,9.0,Gonsolin,Robles,Kolarek,3:19,N,,.00,--,
60,Sunday Sep 27,boxscore,LAA,@,LAD,L,0,5,,26-34,4,10.0,May,Sandoval,,2:54,D,,.00,---,