Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
ARI,45,4.92,.689,60,540,430,4665.0,2064,1555,474,35,54,.983,5,1,-2,-1,0
ATL,48,4.80,.692,60,540,400,4719.0,2139,1573,533,33,52,.985,-7,-2,-8,-1,0
BAL,45,4.90,.698,60,540,379,4668.0,2110,1556,511,43,42,.980,15,4,-1,-1,-5
BOS,47,5.85,.647,60,540,415,4716.0,2139,1572,522,45,59,.979,-22,-6,-2,-4,-3
CHC,45,4.00,.708,60,540,356,4665.0,2144,1555,559,30,46,.986,28,7,23,1,2
CHW,46,4.10,.712,60,540,433,4743.0,2136,1581,517,38,48,.982,18,5,23,6,-4
CIN,43,4.05,.707,60,540,395,4536.0,1981,1512,442,27,36,.986,-15,-4,6,0,1
CLE,39,3.48,.701,60,540,407,4824.0,2138,1608,500,30,46,.986,16,4,27,1,1
COL,40,5.88,.675,60,540,385,4737.0,2254,1579,633,42,78,.981,7,2,15,1,2
DET,44,5.48,.690,58,522,389,4431.0,2006,1477,502,27,46,.987,1,0,-14,-3,0
HOU,42,4.58,.703,60,540,431,4716.0,2138,1572,546,20,48,.991,10,3,12,0,2
KCR,48,4.53,.683,60,540,381,4653.0,2085,1551,503,31,62,.985,-1,0,-10,0,3
LAA,45,5.35,.698,60,540,425,4728.0,2097,1576,485,36,36,.983,-15,-4,-26,0,3
LAD,38,3.55,.729,60,540,404,4848.0,2200,1616,544,40,46,.982,37,9,29,0,-1
MIA,61,5.07,.686,60,540,374,4536.0,2100,1512,549,39,60,.981,-18,-5,0,1,-2
MIL,43,4.40,.687,60,540,371,4656.0,2080,1552,494,34,45,.984,-13,-3,-14,0,3
MIN,42,3.58,.703,60,540,416,4620.0,2019,1540,459,20,39,.990,19,5,22,0,-2
NYM,46,5.13,.668,60,540,369,4620.0,2066,1540,494,32,39,.985,-33,-9,-22,-5,-4
NYY,42,4.50,.695,60,540,384,4506.0,2022,1502,472,48,37,.976,-4,-1,-1,0,0
OAK,37,3.87,.703,60,540,414,4638.0,2061,1546,489,26,33,.987,-2,-1,-19,-4,2
PHI,46,5.18,.642,60,540,395,4473.0,2062,1491,536,35,57,.983,-41,-11,-33,-1,-1
PIT,49,4.97,.697,60,540,428,4617.0,2097,1539,511,47,53,.978,4,1,26,0,2
SDP,46,4.02,.695,60,540,408,4683.0,2095,1561,502,32,46,.985,9,2,3,0,-4
SEA,48,5.05,.708,60,540,425,4650.0,2075,1550,502,23,48,.989,-2,-1,17,0,-3
SFG,44,4.95,.699,60,540,373,4659.0,2085,1553,491,41,43,.980,6,2,6,0,2
STL,44,3.95,.731,58,522,374,4257.0,1941,1419,489,33,46,.983,28,8,33,1,3
TBR,43,3.82,.693,60,540,355,4749.0,2157,1583,541,33,52,.985,13,3,24,2,-1
TEX,49,5.20,.704,60,540,430,4650.0,2057,1550,467,40,40,.981,12,3,11,0,1
TOR,48,5.20,.681,60,540,396,4722.0,2142,1574,530,38,47,.982,-9,-2,-39,-1,1
WSN,43,5.02,.664,60,540,435,4533.0,2012,1511,462,39,48,.981,-22,-6,-43,-1,0