Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,LAD 11.6,CLE 5.3,CLE 5.3,ATL 4.0,LAD 8.8,KCR 1.3,ATL 2.0,TBR 1.6,SDP 2.0,SDP 2.1,WSN 1.3,MIN 1.7,LAD 2.6,LAD 3.5,MIN 1.1,TBR 0.6
2,TBR 8.8,ATL 3.7,PHI 5.2,OAK 3.7,SDP 6.1,LAD 1.3,CHW 2.0,NYY 1.3,NYY 1.7,ATL 2.0,HOU 1.2,SDP 1.5,NYM 1.6,NYM 3.3,ATL 0.8,LAD 0.2
3,SDP 8.5,WSN 3.7,COL 3.6,BAL 3.2,TBR 5.6,CHW 1.0,SFG 1.3,LAD 1.0,CLE 1.5,CHW 2.0,NYM 1.1,BOS 1.4,NYY 1.2,BOS 2.5,LAD 0.6,NYM 0.2
4,ATL 8.0,OAK 3.4,SDP 3.0,TBR 1.7,CHW 5.3,PHI 1.0,NYY 0.9,CLE 0.9,LAA 1.4,LAD 1.6,OAK 0.6,TBR 1.3,BAL 1.2,MIN 2.2,HOU 0.3,SFG 0.0
5,NYY 4.3,TBR 3.2,WSN 2.4,WSN 1.3,ATL 4.3,CIN 0.7,STL 0.9,SFG 0.8,MIA 1.1,WSN 1.5,CHW 0.4,CHW 1.0,BOS 1.1,SDP 2.1,BAL 0.1,BOS 0.0
6,OAK 4.2,BAL 2.8,LAD 2.1,TOR 1.2,NYY 4.1,LAA 0.7,DET 0.9,NYM 0.7,COL 1.1,COL 1.4,TBR 0.4,OAK 0.9,CHC 0.8,TBR 1.8,STL 0.1,MIN 0.0
7,CHW 3.6,LAD 2.8,CIN 2.0,LAD 0.7,SFG 3.6,BOS 0.4,BOS 0.5,STL 0.6,PIT 0.9,TBR 1.3,ATL 0.3,SFG 0.9,SDP 0.8,SFG 1.4,NYY 0.1,STL -0.1
8,NYM 3.1,TOR 2.7,CHC 1.7,MIL 0.4,NYM 3.5,OAK 0.4,OAK 0.5,SDP 0.6,TBR 0.8,SFG 0.9,MIN 0.3,LAA 0.9,TOR 0.7,NYY 1.2,SDP 0.1,LAA -0.1
9,BAL 3.0,SDP 2.4,TOR 1.5,KCR 0.1,MIN 2.0,ATL 0.2,SDP 0.5,CHW 0.5,LAD 0.8,HOU 0.9,TOR 0.3,LAD 0.8,PHI 0.6,OAK 1.2,TBR 0.0,CHW -0.2
10,CLE 2.5,PHI 1.6,TBR 1.5,CLE 0.0,BOS 1.6,WSN 0.2,PHI 0.4,ARI 0.3,TEX 0.7,MIA 0.9,STL 0.2,SEA 0.7,SFG 0.6,BAL 1.2,PHI -0.1,TOR -0.2
11,MIN 2.4,MIL 1.4,MIN 1.3,MIA -0.4,OAK 0.8,PIT 0.2,TBR 0.2,CHC 0.3,PHI 0.5,ARI 0.8,LAD 0.1,NYM 0.6,TEX 0.5,HOU 1.1,TOR -0.1,NYY -0.2
12,TOR 1.9,CIN 0.8,BOS 1.2,HOU -0.5,STL 0.6,MIN 0.1,NYM 0.2,DET 0.2,OAK 0.5,SEA 0.8,BOS 0.0,HOU 0.5,ATL 0.4,TOR 0.9,SFG -0.2,ARI -0.3
13,WSN 1.7,HOU 0.7,HOU 1.1,SDP -0.6,BAL 0.2,MIL 0.0,CHC 0.1,MIN 0.0,SEA 0.2,LAA 0.6,NYY 0.0,ARI 0.4,ARI 0.3,CHW 0.8,CIN -0.2,ATL -0.3
14,PHI 1.7,MIN 0.4,NYY 1.1,CHW -0.7,PHI 0.1,TEX 0.0,CLE 0.0,ATL 0.0,CHW 0.1,BOS 0.4,SFG -0.1,STL 0.2,MIN 0.2,ATL 0.7,NYM -0.2,SEA -0.3
15,HOU 0.5,MIA 0.3,MIL 1.0,NYM -0.7,HOU -0.2,BAL 0.0,TOR -0.1,TOR -0.1,BAL 0.0,BAL 0.4,CIN -0.2,CHC 0.2,TBR 0.1,ARI 0.5,MIA -0.3,SDP -0.3
16,SFG 0.3,NYY 0.2,ARI 0.9,NYY -0.8,CHC -0.5,MIA -0.1,LAD -0.2,BAL -0.1,HOU 0.0,PHI 0.3,SEA -0.2,BAL 0.2,COL -0.2,CHC 0.5,KCR -0.4,PHI -0.3
17,BOS -0.4,CHC 0.1,MIA 0.7,ARI -0.9,TOR -0.8,HOU -0.1,LAA -0.3,LAA -0.3,SFG 0.0,KCR 0.3,ARI -0.2,MIA 0.1,SEA -0.3,SEA 0.2,OAK -0.4,BAL -0.3
18,CHC -0.4,ARI 0.0,LAA 0.6,MIN -0.9,LAA -0.9,CHC -0.1,MIA -0.4,WSN -0.3,STL 0.0,CLE 0.3,BAL -0.2,TEX 0.1,OAK -0.3,STL -0.3,MIL -0.5,MIA -0.3
19,LAA -1.4,KCR -0.3,NYM 0.2,LAA -1.1,SEA -1.3,TOR -0.3,SEA -0.5,KCR -0.4,MIN -0.1,CHC 0.2,SDP -0.2,ATL 0.0,KCR -0.4,WSN -0.9,CLE -0.5,WSN -0.3
20,MIA -1.5,NYM -0.4,SEA 0.2,CIN -1.2,MIA -1.8,SEA -0.3,MIL -0.7,SEA -0.4,NYM -0.1,TOR 0.1,COL -0.3,NYY 0.0,HOU -0.6,TEX -1.1,COL -0.6,OAK -0.4
21,ARI -2.7,LAA -0.5,ATL -0.2,DET -1.4,WSN -2.0,NYM -0.4,COL -0.7,CIN -0.5,CIN -0.1,NYM -0.2,MIL -0.4,DET 0.0,CHW -0.6,PHI -1.1,CHC -0.7,HOU -0.4
22,KCR -3.4,COL -1.0,OAK -0.3,CHC -1.6,ARI -2.7,NYY -0.4,TEX -0.7,OAK -0.5,BOS -0.3,STL -0.2,PIT -0.4,TOR -0.1,STL -0.7,COL -1.8,ARI -0.8,TEX -0.5
23,CIN -3.5,CHW -1.7,KCR -0.4,SFG -1.9,CLE -2.8,STL -0.4,MIN -0.8,PIT -0.5,CHC -0.3,DET -0.4,CHC -0.5,PHI -0.7,MIL -0.8,MIA -1.9,LAA -0.8,CHC -0.5
24,COL -3.9,BOS -2.0,BAL -0.5,STL -1.9,COL -2.9,SFG -0.6,KCR -0.8,COL -0.6,KCR -0.3,MIN -0.5,MIA -0.8,MIL -0.7,CIN -0.8,MIL -1.9,PIT -0.8,DET -0.6
25,STL -3.9,SFG -3.3,CHW -1.0,TEX -2.3,KCR -3.1,TBR -0.7,CIN -0.8,PHI -0.6,WSN -0.4,NYY -0.5,KCR -0.8,CLE -0.8,WSN -1.1,CIN -2.0,WSN -0.8,COL -0.6
26,MIL -4.9,TEX -3.5,TEX -1.2,BOS -3.2,CIN -4.3,ARI -1.0,ARI -0.9,MIA -0.8,DET -0.6,OAK -0.5,PHI -1.0,KCR -0.9,MIA -1.2,LAA -2.1,DET -0.9,CLE -0.6
27,SEA -6.8,STL -4.5,SFG -1.4,PHI -3.5,TEX -5.0,SDP -1.0,PIT -1.0,BOS -0.8,MIL -0.9,MIL -0.5,CLE -1.0,CIN -1.0,DET -1.2,KCR -2.1,CHW -0.9,MIL -0.7
28,TEX -8.5,DET -5.1,STL -2.5,COL -4.5,DET -5.2,CLE -1.1,HOU -1.0,HOU -1.0,TOR -1.0,TEX -0.5,LAA -1.3,WSN -1.1,CLE -1.5,DET -2.6,SEA -1.0,PIT -0.7
29,DET -10.3,SEA -5.5,PIT -2.8,PIT -4.9,MIL -6.3,COL -1.1,WSN -1.0,MIL -1.1,ATL -1.1,CIN -0.7,DET -1.4,COL -1.3,PIT -1.7,CLE -3.3,BOS -1.1,KCR -0.7
30,PIT -14.3,PIT -7.7,DET -3.7,SEA -5.7,PIT -6.6,DET -1.2,BAL -1.1,TEX -1.5,ARI -1.3,PIT -1.0,TEX -1.7,PIT -1.6,LAA -1.7,PIT -3.7,TEX -1.4,CIN -0.7
